Entity,Code,Year,Consumption of Ozone-Depleting Substances - All
Afghanistan,AFG,1989,0.9
Afghanistan,AFG,1991,0
Afghanistan,AFG,1995,381.9
Afghanistan,AFG,1996,381.9
Afghanistan,AFG,1997,381.9
Afghanistan,AFG,1998,0.9
Afghanistan,AFG,1999,0.9
Afghanistan,AFG,2000,0.9
Afghanistan,AFG,2004,181.5
Afghanistan,AFG,2005,145.4
Afghanistan,AFG,2006,99.4
Afghanistan,AFG,2007,61.3
Afghanistan,AFG,2008,47.9
Afghanistan,AFG,2009,49.2
Afghanistan,AFG,2010,24.9
Afghanistan,AFG,2011,24.04
Afghanistan,AFG,2012,17.34
Afghanistan,AFG,2013,17.7
Africa,,1989,37958
Africa,,1991,19073.6
Africa,,1993,24550.1
Africa,,1994,18480.1
Africa,,1995,20318.2
Africa,,1996,21257.6
Africa,,1997,20346.8
Africa,,1998,21756.2
Africa,,1999,17789.7
Africa,,2000,17724.9
Africa,,2001,17928.4
Africa,,2002,15744
Africa,,2003,13653.6
Africa,,2004,11199
Africa,,2005,7524.5
Africa,,2006,5306.5
Africa,,2007,3410.9
Africa,,2008,3248.8
Africa,,2009,3403.8
Africa,,2010,3062.36
Africa,,2011,2734.09
Africa,,2012,2703.41
Africa,,2013,1993
Albania,ALB,1989,43.8
Albania,ALB,1991,0
Albania,ALB,1995,43.4
Albania,ALB,1996,43.2
Albania,ALB,1997,45.2
Albania,ALB,1998,49.6
Albania,ALB,1999,56.2
Albania,ALB,2000,65.1
Albania,ALB,2001,70.2
Albania,ALB,2002,50.5
Albania,ALB,2003,38
Albania,ALB,2004,36.6
Albania,ALB,2005,14.3
Albania,ALB,2006,15.2
Albania,ALB,2007,6.6
Albania,ALB,2008,4.1
Albania,ALB,2009,5.4
Albania,ALB,2010,6.5
Albania,ALB,2011,6.49
Albania,ALB,2012,6.59
Albania,ALB,2013,5.67
Algeria,DZA,1989,3606.5
Algeria,DZA,1991,0.6
Algeria,DZA,1993,2364.8
Algeria,DZA,1994,2342.9
Algeria,DZA,1995,2519.9
Algeria,DZA,1996,2653.5
Algeria,DZA,1997,2008.5
Algeria,DZA,1998,1783.5
Algeria,DZA,1999,1736.5
Algeria,DZA,2000,1703.5
Algeria,DZA,2001,1225.3
Algeria,DZA,2002,1965.3
Algeria,DZA,2003,1965.3
Algeria,DZA,2004,1141.4
Algeria,DZA,2005,955.4
Algeria,DZA,2006,428.6
Algeria,DZA,2007,318
Algeria,DZA,2008,272.4
Algeria,DZA,2009,174.35
Algeria,DZA,2010,65.68
Algeria,DZA,2011,69.12
Algeria,DZA,2012,58.36
Algeria,DZA,2013,51.97
Algeria,DZA,2014,53.66
Andorra,AND,1989,57.2
Andorra,AND,1991,0
Andorra,AND,2009,1.9
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Angola,AGO,1989,120.4
Angola,AGO,1991,0
Angola,AGO,1995,114.8
Angola,AGO,1996,114.8
Angola,AGO,1997,114.8
Angola,AGO,1998,115.9
Angola,AGO,2000,107
Angola,AGO,2001,119.8
Angola,AGO,2002,110
Angola,AGO,2003,109.7
Angola,AGO,2004,82.2
Angola,AGO,2005,59.2
Angola,AGO,2006,42.1
Angola,AGO,2007,17
Angola,AGO,2008,20.2
Angola,AGO,2009,35.3
Angola,AGO,2010,12.7
Angola,AGO,2011,11.55
Angola,AGO,2012,6.6
Angola,AGO,2013,15.43
Angola,AGO,2014,13.21
Antigua and Barbuda,ATG,1989,432.5
Antigua and Barbuda,ATG,1990,425.5
Antigua and Barbuda,ATG,1991,430.2
Antigua and Barbuda,ATG,1992,432.9
Antigua and Barbuda,ATG,1993,428.5
Antigua and Barbuda,ATG,1994,12.9
Antigua and Barbuda,ATG,1995,11.9
Antigua and Barbuda,ATG,1996,10.7
Antigua and Barbuda,ATG,1997,10.3
Antigua and Barbuda,ATG,1998,27.7
Antigua and Barbuda,ATG,1999,-1.6
Antigua and Barbuda,ATG,2000,5.1
Antigua and Barbuda,ATG,2001,3.3
Antigua and Barbuda,ATG,2002,4
Antigua and Barbuda,ATG,2003,1.7
Antigua and Barbuda,ATG,2004,2.6
Antigua and Barbuda,ATG,2005,1.7
Antigua and Barbuda,ATG,2006,1.6
Antigua and Barbuda,ATG,2007,0.9
Antigua and Barbuda,ATG,2008,0.3
Antigua and Barbuda,ATG,2009,0.5
Antigua and Barbuda,ATG,2010,0.1
Antigua and Barbuda,ATG,2011,0.38
Antigua and Barbuda,ATG,2012,0.11
Antigua and Barbuda,ATG,2013,0.22
Arabian Peninsula,,1989,7921.3
Arabian Peninsula,,1991,1217.3
Arabian Peninsula,,1995,8916
Arabian Peninsula,,1996,7461.7
Arabian Peninsula,,1997,6615
Arabian Peninsula,,1998,6578.1
Arabian Peninsula,,1999,5310.7
Arabian Peninsula,,2000,5036
Arabian Peninsula,,2001,4947.2
Arabian Peninsula,,2002,4647.1
Arabian Peninsula,,2003,3806.1
Arabian Peninsula,,2004,3872.7
Arabian Peninsula,,2005,3208.8
Arabian Peninsula,,2006,3247.6
Arabian Peninsula,,2007,3093.5
Arabian Peninsula,,2008,3171.3
Arabian Peninsula,,2009,3116.5
Arabian Peninsula,,2010,2997.29
Arabian Peninsula,,2011,3098.44
Arabian Peninsula,,2012,3393.11
Arabian Peninsula,,2013,2680.73
Argentina,ARG,1989,9038.2
Argentina,ARG,1990,1514
Argentina,ARG,1991,9912.3
Argentina,ARG,1992,10085.8
Argentina,ARG,1993,4380.5
Argentina,ARG,1994,7082.1
Argentina,ARG,1995,10042.5
Argentina,ARG,1996,4949.5
Argentina,ARG,1997,4369
Argentina,ARG,1998,4374.9
Argentina,ARG,1999,4957
Argentina,ARG,2000,3383
